to P(to | S) = 0.0199661  P(to | H) = 0.0189971
visit P(visit | S) = 0.000260994  P(visit | H) = 0.000110663
Join P(Join | S) = 0.000260994  P(Join | H) = 1.22959e-05
inc P(inc | S) = 0.000260994  P(inc | H) = 1.22959e-05
could P(could | S) = 0.000260994  P(could | H) = 0.000614794
5WB P(5WB | S) = 0.000260994  P(5WB | H) = 1.22959e-05
CR9 P(CR9 | S) = 0.000260994  P(CR9 | H) = 1.22959e-05
Tenerife P(Tenerife | S) = 0.000260994  P(Tenerife | H) = 1.22959e-05
Croydon P(Croydon | S) = 0.000260994  P(Croydon | H) = 1.22959e-05
1327 P(1327 | S) = 0.000260994  P(1327 | H) = 1.22959e-05
20p P(20p | S) = 0.000260994  P(20p | H) = 1.22959e-05
ONLY P(ONLY | S) = 0.000260994  P(ONLY | H) = 4.91836e-05
about P(about | S) = 0.000260994  P(about | H) = 0.00181979
£300 P(£300 | S) = 0.000260994  P(£300 | H) = 1.22959e-05
each P(each | S) = 0.000260994  P(each | H) = 8.60712e-05
within P(within | S) = 0.000260994  P(within | H) = 8.60712e-05
DVD P(DVD | S) = 0.000260994  P(DVD | H) = 1.22959e-05
62468 P(62468 | S) = 0.000260994  P(62468 | H) = 1.22959e-05
£900 P(£900 | S) = 0.000260994  P(£900 | H) = 1.22959e-05
spree P(spree | S) = 0.000260994  P(spree | H) = 1.22959e-05
Someone P(Someone | S) = 0.000260994  P(Someone | H) = 3.68877e-05
but P(but | S) = 0.000260994  P(but | H) = 0.00347974
85023 P(85023 | S) = 0.000260994  P(85023 | H) = 1.22959e-05
Sol P(Sol | S) = 0.000260994  P(Sol | H) = 1.22959e-05
its P(its | S) = 0.000260994  P(its | H) = 0.00220096
Day P(Day | S) = 0.000260994  P(Day | H) = 9.83671e-05
STOP P(STOP | S) = 0.000260994  P(STOP | H) = 1.22959e-05
minute P(minute | S) = 0.000260994  P(minute | H) = 0.000110663
horny P(horny | S) = 0.000260994  P(horny | H) = 1.22959e-05
Landline P(Landline | S) = 0.000260994  P(Landline | H) = 1.22959e-05
BTnationalrate P(BTnationalrate | S) = 0.000260994  P(BTnationalrate | H) = 1.22959e-05
cashbalance P(cashbalance | S) = 0.000260994  P(cashbalance | H) = 1.22959e-05
miss P(miss | S) = 0.000260994  P(miss | H) = 0.000713162
news P(news | S) = 0.000260994  P(news | H) = 9.83671e-05
Uve P(Uve | S) = 0.000260994  P(Uve | H) = 1.22959e-05
day P(day | S) = 0.000260994  P(day | H) = 0.00167224
need P(need | S) = 0.000260994  P(need | H) = 0.00177061
national P(national | S) = 0.000260994  P(national | H) = 1.22959e-05
87077 P(87077 | S) = 0.000260994  P(87077 | H) = 1.22959e-05
update P(update | S) = 0.000260994  P(update | H) = 6.14794e-05
calls P(calls | S) = 0.000260994  P(calls | H) = 0.000110663
Our P(Our | S) = 0.000260994  P(Our | H) = 0.000147551
answer P(answer | S) = 0.000260994  P(answer | H) = 0.000122959
weekends P(weekends | S) = 0.000260994  P(weekends | H) = 3.68877e-05
AGE P(AGE | S) = 0.000260994  P(AGE | H) = 1.22959e-05
music P(music | S) = 0.000260994  P(music | H) = 4.91836e-05
tomorrow P(tomorrow | S) = 0.000260994  P(tomorrow | H) = 0.000344285
HGSuite3422Lands P(HGSuite3422Lands | S) = 0.000260994  P(HGSuite3422Lands | H) = 1.22959e-05
credit P(credit | S) = 0.000260994  P(credit | H) = 4.91836e-05
36504 P(36504 | S) = 0.000260994  P(36504 | H) = 1.22959e-05
still P(still | S) = 0.000260994  P(still | H) = 0.00162306
camcorder P(camcorder | S) = 0.000260994  P(camcorder | H) = 1.22959e-05
LDN P(LDN | S) = 0.000260994  P(LDN | H) = 1.22959e-05
maximize P(maximize | S) = 0.000260994  P(maximize | H) = 1.22959e-05
cashin P(cashin | S) = 0.000260994  P(cashin | H) = 1.22959e-05
Costa P(Costa | S) = 0.000260994  P(Costa | H) = 1.22959e-05
bid P(bid | S) = 0.000260994  P(bid | H) = 1.22959e-05
flights P(flights | S) = 0.00022837  P(flights | H) = 1.22959e-05
sms P(sms | S) = 0.00022837  P(sms | H) = 0.000147551
lucky P(lucky | S) = 0.00022837  P(lucky | H) = 8.60712e-05
replying P(replying | S) = 0.00022837  P(replying | H) = 3.68877e-05
even P(even | S) = 0.00022837  P(even | H) = 0.000516427
special P(special | S) = 0.00022837  P(special | H) = 0.000405764
weekend P(weekend | S) = 0.00022837  P(weekend | H) = 0.000147551
year P(year | S) = 0.00022837  P(year | H) = 0.000381173
love P(love | S) = 0.00022837  P(love | H) = 0.00163535
B P(B | S) = 0.00022837  P(B | H) = 9.83671e-05
give P(give | S) = 0.00022837  P(give | H) = 0.00105745
prize P(prize | S) = 0.00022837  P(prize | H) = 1.22959e-05
etc P(etc | S) = 0.00022837  P(etc | H) = 6.14794e-05
entered P(entered | S) = 0.00022837  P(entered | H) = 7.37753e-05
being P(being | S) = 0.00022837  P(being | H) = 0.000467244
Dont P(Dont | S) = 0.00022837  P(Dont | H) = 0.000725457
standard P(standard | S) = 0.00022837  P(standard | H) = 1.22959e-05
08712300220 P(08712300220 | S) = 0.00022837  P(08712300220 | H) = 1.22959e-05
you P(you | S) = 0.00022837  P(you | H) = 0.000946783
40GB P(40GB | S) = 0.00022837  P(40GB | H) = 1.22959e-05
6 P(6 | S) = 0.00022837  P(6 | H) = 0.000282805
Max10mins P(Max10mins | S) = 0.00022837  P(Max10mins | H) = 1.22959e-05
Optout P(Optout | S) = 0.00022837  P(Optout | H) = 1.22959e-05
10 P(10 | S) = 0.00022837  P(10 | H) = 0.000122959
HL P(HL | S) = 0.00022837  P(HL | H) = 1.22959e-05
Cost£150pm P(Cost£150pm | S) = 0.00022837  P(Cost£150pm | H) = 1.22959e-05
SK38xh P(SK38xh | S) = 0.00022837  P(SK38xh | H) = 1.22959e-05
Stockport P(Stockport | S) = 0.00022837  P(Stockport | H) = 1.22959e-05
SiPix P(SiPix | S) = 0.00022837  P(SiPix | H) = 1.22959e-05
